x,y,z
121.514383,22.07993,11
121.5091762,22.07496486,153
121.516667,22.066667,440
121.560384,22.058173,35
121.51878,22.055179,312
121.53444,22.05278,550
121.5344444,22.0527778,530
121.5332723,22.05205323,506
121.562411,22.051311,18
121.5190417,22.04609167,47
121.548588,22.045868,379
121.548418,22.0435616,304
121.55195,22.04074,243
121.565818,22.040592,22
121.550136,22.038658,146
121.5577228,22.03816098,317
121.55541,22.037096,256
121.562056,22.035278,213
121.5584725,22.03513102,219
121.5586806,22.03490833,206
121.550594,22.034231,71
121.536797,22.03359,221
121.55,22.033333,200
121.533333,22.033333,116
121.5551617,22.03061117,157
121.5552508,22.03050452,157
121.534258,22.028198,12
121.55065,22.026238,6
121.566667,22.016667,131
